transaccion_id,fecha,cliente,producto,precio_unitario,cantidad,estado
10001,2026-02-05,Cliente_215,Silla Ergonómica,250.0,4,Cancelado
10002,2026-03-01,  Cliente_212  ,Laptop Pro 15,1200.0,-1,Completado
10003,2026-02-26,Cliente_315,Auriculares Noise-Canceling,150.0,4,Completado
10004,2026-03-13,Cliente_275,Laptop Pro 15,1200.0,0,Completado
10005,2026-06-04,Cliente_277,Laptop Pro 15,1200.0,-1,Completado
10006,2026-01-21,Cliente_294,Silla Ergonómica,250.0,-1,Cancelado
10007,2026-02-28,  Cliente_439  ,Teclado Mecánico,80.0,4,Completado
10008,2026-08-02,Cliente_426,Monitor 4K,350.0,2,Completado
10009,2026-06-15,Cliente_450,Teclado Mecánico,80.0,1,Completado
10010,2026-08-25,Cliente_239,Auriculares Noise-Canceling,150.0,0,Cancelado
10011,2026-02-28,Cliente_129,Monitor 4K,350.0,5,Completado
10012,2026-08-13,Cliente_391,Mouse Inalámbrico,30.0,0,Completado
10013,2026-02-05,Cliente_236,Silla Ergonómica,250.0,4,Cancelado
10014,2026-04-13,Cliente_399,Auriculares Noise-Canceling,150.0,3,Completado
10015,2026-02-09,  Cliente_157  ,Auriculares Noise-Canceling,150.0,5,Pendiente
10016,2026-05-16,Cliente_340,Auriculares Noise-Canceling,150.0,2,Cancelado
10017,2026-07-12,Cliente_375,Laptop Pro 15,1200.0,-1,Completado
10018,2026-07-04,Cliente_589,Laptop Pro 15,1200.0,0,Completado
10019,2026-06-10,Cliente_546,Auriculares Noise-Canceling,150.0,3,Cancelado
10020,2026-09-02,Cliente_377,Auriculares Noise-Canceling,150.0,1,Cancelado
10021,2026-04-03,  Cliente_576  ,Laptop Pro 15,1200.0,2,Completado
10022,2026-07-07,Cliente_144,Monitor 4K,350.0,3,Completado
10023,2026-05-21,Cliente_585,Auriculares Noise-Canceling,150.0,0,Cancelado
10024,2026-07-06,Cliente_487,Auriculares Noise-Canceling,150.0,0,Completado
10025,2026-05-13,Cliente_561,Mouse Inalámbrico,30.0,4,Completado
10026,2026-05-31,Cliente_218,Monitor 4K,350.0,-1,Completado
10027,2026-08-09,  Cliente_117  ,Silla Ergonómica,250.0,0,Cancelado
10028,2026-07-05,Cliente_168,Monitor 4K,350.0,2,Cancelado
10029,2026-02-18,Cliente_309,Auriculares Noise-Canceling,150.0,5,Pendiente
10030,2026-06-22,Cliente_128,Teclado Mecánico,80.0,2,Completado
10031,2026-03-05,Cliente_156,Laptop Pro 15,1200.0,1,Cancelado
10032,2026-08-12,Cliente_228,Mouse Inalámbrico,30.0,0,Pendiente
10033,2026-01-04,Cliente_529,Auriculares Noise-Canceling,150.0,4,Completado
10034,2026-08-20,Cliente_306,Monitor 4K,350.0,2,Pendiente
10035,2026-04-27,Cliente_502,Laptop Pro 15,1200.0,1,Cancelado
10036,2026-09-05,Cliente_212,Silla Ergonómica,250.0,0,Cancelado
10037,2026-05-09,  Cliente_345  ,Laptop Pro 15,1200.0,-1,Cancelado
10038,2026-01-18,  Cliente_196  ,Monitor 4K,350.0,3,Completado
10039,2026-01-11,Cliente_405,Mouse Inalámbrico,30.0,3,Pendiente
10040,2026-02-22,Cliente_234,Silla Ergonómica,250.0,3,Completado
10041,2026-04-28,Cliente_254,Monitor 4K,350.0,0,Completado
10042,2026-05-18,Cliente_138,Laptop Pro 15,1200.0,3,Completado
10043,2026-03-14,Cliente_290,Monitor 4K,350.0,-1,Cancelado
10044,2026-06-20,Cliente_105,Silla Ergonómica,250.0,5,Completado
10045,2026-01-28,Cliente_556,Silla Ergonómica,250.0,0,Completado
10046,2026-06-25,Cliente_205,Teclado Mecánico,80.0,0,Completado
10047,2026-04-19,  Cliente_425  ,Auriculares Noise-Canceling,150.0,5,Completado
10048,2026-02-11,Cliente_235,Laptop Pro 15,1200.0,0,Cancelado
10049,2026-08-15,Cliente_584,Silla Ergonómica,250.0,-1,Completado
10050,2026-04-21,Cliente_176,Auriculares Noise-Canceling,150.0,1,Completado
10051,2026-08-19,Cliente_121,Teclado Mecánico,80.0,5,Completado
10052,2026-04-15,Cliente_548,Silla Ergonómica,250.0,5,Completado
10053,16/04/2026,Cliente_552,Monitor 4K,350.0,5,Completado
10054,2026-03-10,Cliente_228,Mouse Inalámbrico,30.0,5,Completado
10055,2026-07-29,Cliente_203,Mouse Inalámbrico,30.0,5,Completado
10056,2026-06-18,Cliente_113,Teclado Mecánico,80.0,5,Completado
10057,2026-05-11,Cliente_429,Teclado Mecánico,80.0,5,Cancelado
10058,2026-02-15,Cliente_234,Teclado Mecánico,80.0,-1,Completado
10059,2026-03-22,Cliente_503,Laptop Pro 15,1200.0,2,Cancelado
10060,2026-07-01,Cliente_123,Laptop Pro 15,1200.0,3,Cancelado
10061,2026-04-04,Cliente_201,Auriculares Noise-Canceling,150.0,4,Completado
10062,2026-03-18,Cliente_561,Auriculares Noise-Canceling,150.0,5,Pendiente
10063,2026-04-18,Cliente_199,Teclado Mecánico,80.0,1,Pendiente
10064,2026-04-14,Cliente_255,Silla Ergonómica,250.0,0,Completado
10065,2026-06-17,Cliente_411,Teclado Mecánico,80.0,2,Pendiente
10066,2026-09-03,Cliente_562,Mouse Inalámbrico,30.0,3,Completado
10067,2026-03-27,Cliente_418,Silla Ergonómica,250.0,3,Completado
10068,2026-01-12,Cliente_113,Silla Ergonómica,250.0,5,Pendiente
10069,2026-06-11,Cliente_554,Auriculares Noise-Canceling,150.0,-1,Pendiente
10070,2026-08-17,Cliente_103,Mouse Inalámbrico,30.0,0,Completado
10071,2026-04-29,Cliente_366,Mouse Inalámbrico,30.0,5,Completado
10072,2026-05-24,Cliente_372,Laptop Pro 15,1200.0,5,Pendiente
10073,2026-05-21,Cliente_565,Auriculares Noise-Canceling,150.0,3,Completado
10074,2026-08-04,Cliente_227,Silla Ergonómica,250.0,2,Cancelado
10075,2026-03-15,Cliente_466,Mouse Inalámbrico,30.0,1,Completado
10076,2026-04-09,Cliente_219,Teclado Mecánico,80.0,-1,Completado
10077,2026-01-16,Cliente_313,Laptop Pro 15,1200.0,1,Pendiente
10078,2026-08-08,Cliente_111,Mouse Inalámbrico,30.0,3,Cancelado
10079,2026-08-07,Cliente_300,Mouse Inalámbrico,30.0,1,Pendiente
10080,2026-02-26,Cliente_560,Auriculares Noise-Canceling,150.0,3,Completado
10081,2026-07-24,Cliente_448,Mouse Inalámbrico,30.0,2,Completado
10082,2026-04-11,Cliente_565,Mouse Inalámbrico,30.0,3,Completado
10083,2026-01-13,Cliente_194,Laptop Pro 15,1200.0,0,Completado
10084,2026-03-13,Cliente_295,Monitor 4K,350.0,1,Pendiente
10085,2026-01-14,  Cliente_377  ,Teclado Mecánico,80.0,2,Completado
10086,13/07/2026,Cliente_121,Monitor 4K,350.0,5,Completado
10087,2026-05-02,Cliente_165,Monitor 4K,350.0,3,Cancelado
10088,2026-06-05,Cliente_186,Monitor 4K,350.0,1,Completado
10089,2026-03-21,Cliente_576,Monitor 4K,350.0,-1,Pendiente
10090,2026-08-01,  Cliente_454  ,Mouse Inalámbrico,30.0,0,Completado
10091,2026-01-31,Cliente_513,Silla Ergonómica,250.0,5,Cancelado
10092,2026-05-10,Cliente_136,Laptop Pro 15,1200.0,2,Completado
10093,2026-06-12,Cliente_286,Mouse Inalámbrico,30.0,-1,Pendiente
10094,2026-06-16,Cliente_595,Silla Ergonómica,250.0,0,Cancelado
10095,2026-03-24,Cliente_238,Mouse Inalámbrico,30.0,5,Completado
10096,2026-06-06,Cliente_392,Teclado Mecánico,80.0,0,Completado
10097,2026-04-01,Cliente_209,Laptop Pro 15,1200.0,1,Completado
10098,2026-01-03,Cliente_385,Teclado Mecánico,80.0,4,Completado
10099,2026-03-03,Cliente_489,Laptop Pro 15,1200.0,2,Pendiente
10100,2026-06-27,Cliente_308,Mouse Inalámbrico,30.0,-1,Cancelado
10101,2026-05-21,Cliente_482,Teclado Mecánico,80.0,3,Pendiente
10102,2026-03-22,Cliente_199,Teclado Mecánico,80.0,0,Cancelado
10103,2026-07-05,Cliente_242,Silla Ergonómica,250.0,0,Cancelado
10104,2026-02-28,Cliente_252,Auriculares Noise-Canceling,150.0,-1,Completado
10105,2026-01-14,Cliente_599,Laptop Pro 15,1200.0,0,Completado
10106,2026-05-27,Cliente_107,Silla Ergonómica,250.0,2,Pendiente
10107,2026-05-03,Cliente_542,Mouse Inalámbrico,30.0,-1,Completado
10108,2026-02-08,Cliente_128,Mouse Inalámbrico,30.0,3,Cancelado
10109,2026-04-17,Cliente_492,Teclado Mecánico,80.0,0,Cancelado
10110,2026-03-18,Cliente_327,Monitor 4K,350.0,2,Pendiente
10111,2026-01-26,Cliente_479,Teclado Mecánico,80.0,-1,Completado
10112,2026-02-14,  Cliente_223  ,Silla Ergonómica,250.0,4,Completado
10113,2026-01-09,Cliente_250,Laptop Pro 15,1200.0,4,Completado
10114,2026-03-09,Cliente_574,Silla Ergonómica,250.0,-1,Cancelado
10115,2026-02-27,Cliente_379,Silla Ergonómica,250.0,0,Completado
10116,2026-07-11,Cliente_405,Monitor 4K,350.0,0,Completado
10117,2026-08-30,Cliente_307,Mouse Inalámbrico,30.0,4,Cancelado
10118,2026-07-08,  Cliente_322  ,Mouse Inalámbrico,30.0,3,Completado
10119,2026-05-31,Cliente_395,Laptop Pro 15,1200.0,4,Completado
10120,2026-06-16,Cliente_366,Auriculares Noise-Canceling,150.0,5,Completado
10121,2026-09-06,Cliente_352,Monitor 4K,350.0,2,Completado
10122,2026-03-26,Cliente_183,Mouse Inalámbrico,30.0,4,Pendiente
10123,2026-01-10,Cliente_382,Teclado Mecánico,80.0,2,Completado
10124,2026-07-31,Cliente_364,Teclado Mecánico,80.0,5,Cancelado
10125,2026-07-13,Cliente_419,Mouse Inalámbrico,30.0,0,Pendiente
10126,2026-04-23,Cliente_248,Laptop Pro 15,1200.0,3,Pendiente
10127,2026-07-01,Cliente_223,Laptop Pro 15,,4,Cancelado
10128,2026-08-22,Cliente_531,Laptop Pro 15,1200.0,-1,Completado
10129,2026-05-11,Cliente_250,Silla Ergonómica,250.0,2,Pendiente
10130,2026-04-09,Cliente_175,Mouse Inalámbrico,30.0,0,Cancelado
10131,2026-07-17,Cliente_242,Auriculares Noise-Canceling,150.0,0,Pendiente
10132,2026-03-14,Cliente_102,Teclado Mecánico,80.0,3,Cancelado
10133,2026-05-18,Cliente_329,Auriculares Noise-Canceling,150.0,2,Completado
10134,2026-08-11,Cliente_265,Auriculares Noise-Canceling,150.0,2,Completado
10135,2026-03-23,Cliente_123,Auriculares Noise-Canceling,150.0,5,Pendiente
10136,2026-05-07,Cliente_178,Mouse Inalámbrico,30.0,5,Completado
10137,2026-08-05,Cliente_548,Auriculares Noise-Canceling,150.0,1,Cancelado
10138,2026-09-06,Cliente_436,Mouse Inalámbrico,,0,Pendiente
10139,2026-08-07,Cliente_142,Teclado Mecánico,80.0,4,Cancelado
10140,2026-05-05,Cliente_489,Mouse Inalámbrico,30.0,4,Completado
10141,2026-02-28,Cliente_248,Auriculares Noise-Canceling,150.0,4,Pendiente
10142,2026-02-12,Cliente_328,Laptop Pro 15,1200.0,4,Completado
10143,2026-04-21,Cliente_292,Laptop Pro 15,1200.0,-1,Cancelado
10144,2026-01-21,Cliente_190,Mouse Inalámbrico,30.0,5,Pendiente
10145,2026-03-01,Cliente_174,Auriculares Noise-Canceling,150.0,2,Completado
10146,2026-08-19,Cliente_339,Mouse Inalámbrico,30.0,-1,Cancelado
10147,2026-06-13,Cliente_254,Monitor 4K,350.0,1,Completado
10148,2026-05-04,Cliente_537,Mouse Inalámbrico,30.0,0,Pendiente
10149,2026-01-06,Cliente_252,Auriculares Noise-Canceling,150.0,1,Pendiente
10150,07/09/2026,Cliente_482,Teclado Mecánico,,5,Cancelado
10151,2026-06-05,Cliente_218,Silla Ergonómica,250.0,1,Completado
10152,2026-07-16,Cliente_470,Silla Ergonómica,250.0,1,Completado
10153,2026-07-21,Cliente_259,Silla Ergonómica,250.0,4,Cancelado
